Table 4-47: CO2 and CH4 Emissions from Petrochemical Production (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,"21,611","23,053","23,660","24,606","26,573","27,949","29,096","30,493","30,851","32,301","31,571","27,630","28,676","28,452","30,671","27,383","27,627","28,072","24,744","23,800","27,262","26,338","26,501","26,395","26,496","28,062","28,110","28,890","29,314","30,702","30,011"
,Carbon Black,"3,381","3,472","3,687","3,909","4,097","4,188","4,237","4,445","4,590","4,650","4,574","4,244","4,351","4,229","4,409","4,269","3,918","4,014","3,522","2,793","3,320","3,400","3,430","3,190","3,270","3,260","3,160","3,310","3,440","3,300","2,610"
,Ethylene,"13,126","14,382","14,731","14,846","16,030","16,902","17,675","18,386","18,739","20,143","19,929","17,862","18,763","18,233","20,381","19,024","19,854","20,167","17,898","17,941","20,500","19,600","19,400","19,500","18,800","20,100","19,600","20,000","19,400","20,700","20,700"
,Ethylene Dichloride,254,251,278,329,343,316,376,417,447,416,398,375,375,402,489,455,393,386,362,328,353,424,384,403,591,398,447,412,440,503,456
,Ethylene Oxide,"1,123","1,101","1,223","1,192","1,423","1,598","1,519","1,743","1,706","1,863","1,789","1,547","1,593","1,799","1,896","1,489","1,588","1,579","1,343","1,193","1,440","1,390","1,400","1,400","1,330","1,200","1,100","1,250","1,300","1,370","1,680"
,Acrylonitrile," 1,214 "," 1,201 "," 1,283 "," 1,138 "," 1,395 "," 1,455 "," 1,530 "," 1,495 "," 1,415 "," 1,415 "," 1,550 "," 1,345 "," 1,240 "," 1,505 "," 1,600 "," 1,325 "," 1,375 "," 1,390 "," 1,120 "," 1,025 "," 1,160 "," 1,055 "," 1,220 "," 1,075 "," 1,095 "," 1,050 ", 955 ," 1,040 "," 1,250 ", 990 , 930 
,Methanol," 2,513 "," 2,647 "," 2,459 "," 3,193 "," 3,286 "," 3,491 "," 3,759 "," 4,007 "," 3,953 "," 3,812 "," 3,330 "," 2,258 "," 2,355 "," 2,285 "," 1,896 ", 821 , 499 , 536 , 499 , 519 , 489 , 469 , 667 , 827 ," 1,410 "," 2,054 "," 2,848 "," 2,878 "," 3,484 "," 3,839 "," 3,635 "
,CH4,9,9,9,11,12,12,13,14,14,13,12,8,8,8,7,3,2,2,2,2,2,2,3,3,5,7,10,10,12,13,13
,Acrylonitrile,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Methanol,9,9,8,11,11,12,13,14,14,13,11,8,8,8,7,3,2,2,2,2,2,2,2,3,5,7,10,10,12,13,13
,+ Does not exceed 0.5 kt CH4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
